"","selfing","DFE","N1_avg","N1_sd","N2_avg","N2_sd","t2_avg","t2_sd","Nw_avg","Nw_sd","b_avg","b_sd","Es_avg","Es_sd","f0_fromoutput_avg","f0_fromoutput_sd","L_avg","L_sd","gamma_avg","gamma_sd","true_mean_avg","true_mean_sd","true_shape_avg","true_shape_sd","z0","z0_sd","z1","z1_sd","z2","z2_sd","z3","z3_sd","f0","f0_sd","f1","f1_sd","f2","f2_sd","f3","f3_sd"
"1",0,"DFE1",100,0,155.6,12.4418648119966,99.3027,210.496368427154,111.718,24.2793033260841,0.68278,0.109012279124877,-0.0262082,0.00513238723207826,0.955637523,0.000972749571660951,-104310.55572,911.952946814397,5.684009708,0.525773036467917,5,0,0.9,0,0.25127557208531,0.0194709526531339,0.568221859799906,0.0475445400080293,0.180497080154979,0.0288605324453538,5.48795980457872e-06,3.98907883780794e-06,0.25127557208531,0.0194709526531339,0.568221859799906,0.0475445400080293,0.180497080154979,0.0288605324453538,5.48795980457872e-06,3.98907883780794e-06
"2",0,"DFE2",100,0,158.4,10.6207344378814,5,0,100.91,0.106066017177981,0.46892,0.034168655226684,-0.2770428,0.0424946131962629,0.9557668486,0.000664195620348994,-62386.16644,789.039412842003,55.907127096,8.52642707560305,50,0,0.5,0,0.120930175979258,0.0087870793313992,0.225807229077184,0.0117489558899683,0.474511150659142,0.0264593773932356,0.178751444284417,0.0310752078257705,0.120930175979258,0.0087870793313992,0.225807229077184,0.0117489558899683,0.474511150659142,0.0264593773932356,0.178751444284417,0.0310752078257705
"3",0,"DFE3",100,0,147.4,15.8996855314814,5,0,100.786,0.169941166289983,0.29476,0.0217896305613473,-4.9999794,1.47777157462403,0.9593994318,0.00101666158772632,-36798.81052,384.610098857041,1008.25713652,299.904973121411,1000,0,0.3,0,0.102870203723009,0.00701693413993333,0.099445622419057,0.00359486874383384,0.194001413206634,0.0156004237272082,0.6036827606513,0.0128540379551645,0.102870203723009,0.00701693413993333,0.099445622419057,0.00359486874383384,0.194001413206634,0.0156004237272082,0.6036827606513,0.0128540379551645
"4",50,"DFE1",100,0,153,16.2480768092719,8.16116,7.0214827243254,101.202,0.655415898494995,0.8613,0.327651369598847,-0.025717,0.00379603549772654,0.966793478,0.00111773643526702,-80549.67848,801.520507824723,5.208639108,0.800481066389486,5,0,0.9,0,0.226106707233654,0.0622142255177838,0.626174720271428,0.109881873869065,0.147705753521672,0.0493795031404172,1.28189732462536e-05,2.68709373706043e-05,0.226106707233654,0.0622142255177838,0.626174720271428,0.109881873869065,0.147705753521672,0.0493795031404172,1.28189732462536e-05,2.68709373706043e-05
"5",50,"DFE2",100,0,156,16.431676725155,5.7896,1.72117152108673,100.996,0.241101638318777,0.4467,0.0301559281070903,-0.285312,0.0255518744224372,0.9678625322,0.000714458371550235,-47810.43592,877.132623988971,57.63116314,5.16689254361519,50,0,0.5,0,0.129364666871483,0.012103402169751,0.223688226014418,0.00705390383169402,0.460779294950544,0.0202009257387287,0.186167812163555,0.0182255565264326,0.129364666871483,0.012103402169751,0.223688226014418,0.00705390383169402,0.460779294950544,0.0202009257387287,0.186167812163555,0.0182255565264326
"6",50,"DFE3",100,0,153,16.2480768092719,5,0,100.846,0.178129166617933,0.28748,0.0205403748748653,-5.3570684,1.32847737985026,0.971327499,0.000815731546155324,-26919.4588,344.260251944681,1080.73316284,269.289212731024,1000,0,0.3,0,0.105738298774795,0.00772473347258099,0.0987465150799215,0.00264870443485463,0.189610309192758,0.0131258439490076,0.605904876952525,0.0087402682998434,0.105738298774795,0.00772473347258099,0.0987465150799215,0.00264870443485463,0.189610309192758,0.0131258439490076,0.605904876952525,0.0087402682998434
"7",80,"DFE1",100,0,161.6,12.6806939873179,5.33876,0.465783134087099,100.998,0.141668627437412,2.62612,3.57796803954423,-0.0200274,0.00414768619835204,0.9743052372,0.000791617962242942,-65465.1721,690.527364218954,4.045264088,0.835917552345859,5,0,0.9,0,0.168560439953364,0.0977810768804147,0.752859782679435,0.153346032052587,0.0785796736838466,0.0581987388194252,1.03683354004368e-07,2.31655159255152e-07,0.168560439953364,0.0977810768804147,0.752859782679435,0.153346032052587,0.0785796736838466,0.0581987388194252,1.03683354004368e-07,2.31655159255152e-07
"8",80,"DFE2",100,0,164.8,13.5351394525509,5.67908,1.11233944099812,101.08,0.11811011811018,0.4649,0.0435925452342485,-0.2338616,0.0315988530693758,0.976284142,0.0010300772136136,-37687.42988,809.698755453272,47.281164896,6.42909231241741,50,0,0.5,0,0.133061291894212,0.015807523853151,0.242271353235971,0.0103193719862631,0.47947421327996,0.0300809138639657,0.145193141589857,0.025009790753884,0.133061291894212,0.015807523853151,0.242271353235971,0.0103193719862631,0.47947421327996,0.0300809138639657,0.145193141589857,0.025009790753884
"9",80,"DFE3",100,0,161.8,17.4126390877431,111.01808,236.059907724484,110.264,20.6872588807701,0.29404,0.0485289398194521,-4.8562912,3.51848355276399,0.9815202258,0.000585792937031232,-19123.28256,486.129349001655,1007.583946652,680.467297282776,1000,0,0.3,0,0.111510337315341,0.0155230462594851,0.106170613372723,0.010348594109014,0.207566355186568,0.0395672871806498,0.574752694125368,0.0355933401428409,0.111510337315341,0.0155230462594851,0.106170613372723,0.010348594109014,0.207566355186568,0.0395672871806498,0.574752694125368,0.0355933401428409
"10",90,"DFE1",100,0,152.8,13.311649033835,39.94766,47.0086072643936,105.468,5.5992204814599,0.95194,0.731278457907793,-0.0260788,0.0109846889669212,0.9776572492,0.000620145689552609,-58316.7348,997.60352591842,5.588712584,2.70421952017033,5,0,0.9,0,0.255950075702455,0.106842476690502,0.6066727369178,0.204121687215615,0.135984073044882,0.0985164789527464,0.00139311433486373,0.00310572691222706,0.255950075702455,0.106842476690502,0.6066727369178,0.204121687215615,0.135984073044882,0.0985164789527464,0.00139311433486373,0.00310572691222706
"11",90,"DFE2",100,0,222.6,51.7522946351174,9.4942,9.43110018317057,102.258,1.7711069984617,0.46022,0.0420259086754826,-0.1898364,0.0382981108124147,0.980616471,0.00153395661233621,-30702.962,947.514063535459,38.832849724,7.86144304959814,50,0,0.5,0,0.148537002369619,0.0100746070430914,0.264894254100175,0.022108141987152,0.477027319048577,0.0224740633707871,0.109541424481629,0.0360985439372377,0.148537002369619,0.0100746070430914,0.264894254100175,0.022108141987152,0.477027319048577,0.0224740633707871,0.109541424481629,0.0360985439372377
"12",90,"DFE3",100,0,211.8,53.1008474508647,10.04528,3.23122888728112,102.37,0.690289794216893,0.28326,0.0285390609516151,-3.2377706,1.78968019523749,0.9857476118,0.00157509185998888,-15168.01386,190.334321504565,664.6512656,372.572146669696,1000,0,0.3,0,0.128645272928293,0.00902642653661283,0.117678645083428,0.00965019287083042,0.222295501645753,0.0292270004803561,0.531380580342526,0.0322934957590586,0.128645272928293,0.00902642653661283,0.117678645083428,0.00965019287083042,0.222295501645753,0.0292270004803561,0.531380580342526,0.0322934957590586
"13",95,"DFE1",100,0,196.8,31.2201857777945,106.036,185.035943976123,119.862,33.8271765005594,23.7341,42.8518822945387,-0.0161304,0.00614047040543312,0.9798720424,0.00117624538061126,-52698.30672,1256.45676168705,3.81748628,1.53320712072775,5,0,0.9,0,0.173781596792853,0.232595094120194,0.759927258468954,0.324445925340834,0.0660812339674313,0.0915325134437925,0.000209910770762152,0.000464214636969555,0.173781596792853,0.232595094120194,0.759927258468954,0.324445925340834,0.0660812339674313,0.0915325134437925,0.000209910770762152,0.000464214636969555
"14",95,"DFE2",100,0,316.2,53.7326716253715,24.29166,8.73061117236359,108,2.58793353855929,0.43966,0.0675945485967619,-0.1016956,0.0303746733529762,0.986139972,0.00231378095928766,-23104.73914,1699.24261262156,21.867833132,6.15371966436348,50,0,0.5,0,0.208001531107187,0.0214329383864286,0.329673920103456,0.040818697732362,0.422883666473546,0.0167338417103904,0.0394408823158114,0.0293367669976359,0.208001531107187,0.0214329383864286,0.329673920103456,0.040818697732362,0.422883666473546,0.0167338417103904,0.0394408823158114,0.0293367669976359
"15",95,"DFE3",100,0,327.8,94.2507294401481,17.70042,9.17442116223144,105.712,2.66440800178951,0.28422,0.035458948094945,-1.8256432,0.729330056399844,0.9887898012,0.00167147777360326,-11574.69588,460.223199906281,385.775524768,155.249620628064,1000,0,0.3,0,0.147948906834767,0.0181383047059776,0.134810183465882,0.00857443322228918,0.252065112765849,0.0310788080487726,0.465175796933502,0.0253040506532026,0.147948906834767,0.0181383047059776,0.134810183465882,0.00857443322228918,0.252065112765849,0.0310788080487726,0.465175796933502,0.0253040506532026
"16",100,"DFE1",100,0,405.2,115.350335933624,78.328,50.5127405516173,127.172,15.8684583372173,20.2251,44.5953873562614,-0.0123482,0.00732265031938573,0.9841136914,0.00183769295526679,-36138.74602,2448.11957494398,3.076306588,1.65208734102558,5,0,0.9,0,0.479686408670259,0.27816090083401,0.45520486286305,0.323507725355487,0.0641105881422588,0.0599001988490772,0.000998140324431937,0.0018500516470077,0.479686408670259,0.27816090083401,0.45520486286305,0.323507725355487,0.0641105881422588,0.0599001988490772,0.000998140324431937,0.0018500516470077
"17",100,"DFE2",100,0,1000,0,66.20906,38.2708016619459,129.18,16.6194915686371,65.87188,47.782959926704,-0.018869,0.0053653703972792,0.9891117892,0.00194142482928062,-13838.42408,1238.92291959225,4.785367884,1.03081508600728,50,0,0.5,0,0.0541395924057774,0.12105980824437,0.902805491944205,0.217333525246662,0.0430482497985598,0.0962588117053041,6.66585145776186e-06,1.49052969874509e-05,0.0541395924057774,0.12105980824437,0.902805491944205,0.217333525246662,0.0430482497985598,0.0962588117053041,6.66585145776186e-06,1.49052969874509e-05
"18",100,"DFE3",100,0,851.6,146.87511702123,81.82492,46.3306187356375,135.286,20.1288792534507,0.35398,0.147997016861827,-0.5035144,0.49165770449399,0.9912955306,0.00115760173268238,-7636.89232,699.219447861951,132.68059696,123.379983812013,1000,0,0.3,0,0.17668163262998,0.0547146108507747,0.198418195770462,0.0407421505781002,0.372254163794509,0.122301983787565,0.252646007805049,0.110436958889877,0.17668163262998,0.0547146108507747,0.198418195770462,0.0407421505781002,0.372254163794509,0.122301983787565,0.252646007805049,0.110436958889877
